Name,Ticker,"Sub-Sector","Market Cap","Close Price","PE Ratio"
Reliance Industries Ltd,RELIANCE,"Oil & Gas - Refining & Marketing","2050446.8622837602","3030.6","29.45155717791701"
Oil and Natural Gas Corporation Ltd,ONGC,"Oil & Gas - Exploration & Production","429931.04186505","341.75","8.734640147534469"
Indian Oil Corporation Ltd,IOC,"Oil & Gas - Refining & Marketing","253801.01745765898","179.73","6.08202499126303"
Bharat Petroleum Corporation Ltd,BPCL,"Oil & Gas - Refining & Marketing","151457.22658608","349.1","5.6390084823499524"
Oil India Ltd,OIL,"Oil & Gas - Exploration & Production","97441.939719855","599.05","15.381278862189227"
Hindustan Petroleum Corp Ltd,HINDPETRO,"Oil & Gas - Refining & Marketing","83282.97331538","391.4","5.200437183008527"
Petronet LNG Ltd,PETRONET,"Oil & Gas - Storage & Transportation","55162.5032362","367.75","15.102918387762683"
Mangalore Refinery and Petrochemicals Ltd,MRPL,"Oil & Gas - Refining & Marketing","38776.247941125","221.25","10.78001360590626"
Aegis Logistics Ltd,AEGISLOG,"Oil & Gas - Storage & Transportation","26977.86","768.6","47.396932483002146"
Great Eastern Shipping Company Ltd,GESHIP,"Oil & Gas - Storage & Transportation","19452.739522055","1362.55","7.4412395175752994"
Chennai Petroleum Corporation Ltd,CHENNPETRO,"Oil & Gas - Refining & Marketing","15320.004832","1028.8","5.580915908155334"
Seamec Ltd,SEAMECLTD,"Oil & Gas - Equipment & Services","3958.164","1556.8","33.070131172194856"
Hindustan Oil Exploration Company Ltd,HINDOILEXP,"Oil & Gas - Exploration & Production","3764.9664378300004","284.7","16.627507122863584"
Confidence Petroleum India Ltd,CONFIPET,"Oil & Gas - Storage & Transportation","2922.392214228","87.96","28.828965317431173"
Dolphin Offshore Enterprises (India) Ltd,DOLPHIN,"Oil & Gas - Equipment & Services","2773.1174856","693.2","497.86669400359074"
Deep Industries Ltd,DEEPINDS,"Oil & Gas - Equipment & Services","2125.44","332.1","17.162790697674417"
Gandhar Oil Refinery (INDIA) Ltd,GANDHAR,"Oil & Gas - Refining & Marketing","2052.33016734","209.7","14.607332151886062"
Jindal Drilling and Industries Ltd,JINDRILL,"Oil & Gas - Equipment & Services","1944.6320784","671","38.01822245161291"
Reliance Industrial Infrastructure Ltd,RIIL,"Oil & Gas - Storage & Transportation","1934.159","1280.9","145.31622839969947"
Selan Exploration Technology Ltd,SELAN,"Oil & Gas - Exploration & Production","1393.84","917","42.57299938912647"
Asian Energy Services Ltd,ASIANENE,"Oil & Gas - Exploration & Production","1374.52778133","337.7","53.96654029564195"
Kotyark Industries Ltd,KOTYARK,"Oil & Gas - Refining & Marketing","941.2586521200001","915.7","42.39903838378374"
Deep Energy Resources Ltd,DEEPENR,"Oil & Gas - Equipment & Services","552.096","172.53","405.95294117647063"
United Drilling Tools Ltd,UNIDT,"Oil & Gas - Equipment & Services","504.451468596","248.46","53.7794742639659"
Aban Offshore Ltd,ABAN,"Oil & Gas - Equipment & Services","393.96593025","67.5","-0.2989459576203665"
Alphageo (India) Ltd,ALPHAGEO,"Oil & Gas - Equipment & Services","299.04857749499996","469.85","786.9699407763048"
Global Offshore Services Ltd,GLOBOFFS,"Oil & Gas - Equipment & Services","226.78967027399997","88.98","6.329602854423667"
Confidence Futuristic Energetech Ltd,CFEL,"Oil & Gas - Storage & Transportation","217.84914","87.07","25.331295348837262"
Oil Country Tubular Ltd,OILCOUNTUB,"Oil & Gas - Equipment & Services","211.12818951","47.67","-2.9968515189496094"
Aakash Exploration Services Ltd,AAKASH,"Oil & Gas - Equipment & Services","143.37","14.16","23.086956521739154"
Gujarat Natural Resources Ltd,GNRL,"Oil & Gas - Exploration & Production","118.93293789","14.82","-30.652819043814418"
Kesar Terminals & Infrastructure Ltd,KTIL,"Oil & Gas - Storage & Transportation","107.079455","98","-2.071570032888373"
Trishakti Industries Ltd,TRISHAKT,"Oil & Gas - Equipment & Services","102.530259","69.03","148.5945782608686"
Greenhitech Ventures Ltd,GVL,"Oil & Gas - Storage & Transportation","64.2725","136.75","189.03676470588246"
Sri Havisha Hospitality and Infrastructure Ltd,HAVISHA,"Oil & Gas - Storage & Transportation","38.8445574","2.53","-9.337633990384617"
Duke Offshore Ltd,DUKEOFS,"Oil & Gas - Equipment & Services","21.7154116","22.03","17.512428709677426"
Advance Petrochemicals Ltd,ADVPETR-B,"Oil & Gas - Refining & Marketing","18.0405","200.45","85.90714285714262"
Rajasthan Cylinders and Containers Ltd,RCCL,"Oil & Gas - Storage & Transportation","12.340415245","36.71","-8.94232988768116"
Gagan Gases Ltd,GAGAN,"Oil & Gas - Storage & Transportation","10.39255","23","207.85099999999935"
Ashoka Refineries Ltd,ASHOKRE,"Oil & Gas - Refining & Marketing","4.4394795","13.05","443.9479499999992"