Name,Ticker,Sub-Sector,Market Cap,Close Price,PE Ratio,,
Seamec Ltd,SEAMECLTD,Oil & Gas - Equipment & Services,3958.164,1556.8,33.070131172194856,,SEAMECLTD
Dolphin Offshore Enterprises (India) Ltd,DOLPHIN,Oil & Gas - Equipment & Services,2773.117486,693.2,497.86669400359074,,"SEAMECLTD,DOLPHIN"
Deep Industries Ltd,DEEPINDS,Oil & Gas - Equipment & Services,2125.44,332.1,17.162790697674417,,"SEAMECLTD,DOLPHIN,DEEPINDS"
Jindal Drilling and Industries Ltd,JINDRILL,Oil & Gas - Equipment & Services,1944.632078,671,38.01822245161291,,"SEAMECLTD,DOLPHIN,DEEPINDS,JINDRILL"
Deep Energy Resources Ltd,DEEPENR,Oil & Gas - Equipment & Services,552.096,172.53,405.95294117647063,,"SEAMECLTD,DOLPHIN,DEEPINDS,JINDRILL,DEEPENR"
United Drilling Tools Ltd,UNIDT,Oil & Gas - Equipment & Services,504.4514686,248.46,53.77947426,,"SEAMECLTD,DOLPHIN,DEEPINDS,JINDRILL,DEEPENR,UNIDT"
Aban Offshore Ltd,ABAN,Oil & Gas - Equipment & Services,393.9659303,67.5,-0.298945958,,"SEAMECLTD,DOLPHIN,DEEPINDS,JINDRILL,DEEPENR,UNIDT,ABAN"
Alphageo (India) Ltd,ALPHAGEO,Oil & Gas - Equipment & Services,299.04857749499996,469.85,786.9699407763048,,"SEAMECLTD,DOLPHIN,DEEPINDS,JINDRILL,DEEPENR,UNIDT,ABAN,ALPHAGEO"
Global Offshore Services Ltd,GLOBOFFS,Oil & Gas - Equipment & Services,226.78967027399997,88.98,6.329602854423667,,"SEAMECLTD,DOLPHIN,DEEPINDS,JINDRILL,DEEPENR,UNIDT,ABAN,ALPHAGEO,GLOBOFFS"
Oil Country Tubular Ltd,OILCOUNTUB,Oil & Gas - Equipment & Services,211.1281895,47.67,-2.996851519,,"SEAMECLTD,DOLPHIN,DEEPINDS,JINDRILL,DEEPENR,UNIDT,ABAN,ALPHAGEO,GLOBOFFS,OILCOUNTUB"
Aakash Exploration Services Ltd,AAKASH,Oil & Gas - Equipment & Services,143.37,14.16,23.086956521739154,,"SEAMECLTD,DOLPHIN,DEEPINDS,JINDRILL,DEEPENR,UNIDT,ABAN,ALPHAGEO,GLOBOFFS,OILCOUNTUB,AAKASH"
Trishakti Industries Ltd,TRISHAKT,Oil & Gas - Equipment & Services,102.530259,69.03,148.5945782608686,,"SEAMECLTD,DOLPHIN,DEEPINDS,JINDRILL,DEEPENR,UNIDT,ABAN,ALPHAGEO,GLOBOFFS,OILCOUNTUB,AAKASH,TRISHAKT"
Duke Offshore Ltd,DUKEOFS,Oil & Gas - Equipment & Services,21.7154116,22.03,17.512428709677426,,"SEAMECLTD,DOLPHIN,DEEPINDS,JINDRILL,DEEPENR,UNIDT,ABAN,ALPHAGEO,GLOBOFFS,OILCOUNTUB,AAKASH,TRISHAKT,DUKEOFS"
Oil and Natural Gas Corporation Ltd,ONGC,Oil & Gas - Exploration & Production,429931.0419,341.75,8.734640147534469,,ONGC
Oil India Ltd,OIL,Oil & Gas - Exploration & Production,97441.93972,599.05,15.381278862189227,,"ONGC,OIL"
Hindustan Oil Exploration Company Ltd,HINDOILEXP,Oil & Gas - Exploration & Production,3764.9664378300004,284.7,16.627507122863584,,"ONGC,OIL,HINDOILEXP"
Selan Exploration Technology Ltd,SELAN,Oil & Gas - Exploration & Production,1393.84,917,42.57299938912647,,"ONGC,OIL,HINDOILEXP,SELAN"
Asian Energy Services Ltd,ASIANENE,Oil & Gas - Exploration & Production,1374.527781,337.7,53.96654029564195,,"ONGC,OIL,HINDOILEXP,SELAN,ASIANENE"
Gujarat Natural Resources Ltd,GNRL,Oil & Gas - Exploration & Production,118.9329379,14.82,-30.65281904,,"ONGC,OIL,HINDOILEXP,SELAN,ASIANENE,GNRL"
Reliance Industries Ltd,RELIANCE,Oil & Gas - Refining & Marketing,2050446.8622837602,3030.6,29.45155717791701,,RELIANCE
Indian Oil Corporation Ltd,IOC,Oil & Gas - Refining & Marketing,253801.01745765898,179.73,6.082024991,,"RELIANCE,IOC"
Bharat Petroleum Corporation Ltd,BPCL,Oil & Gas - Refining & Marketing,151457.2266,349.1,5.6390084823499524,,"RELIANCE,IOC,BPCL"
Hindustan Petroleum Corp Ltd,HINDPETRO,Oil & Gas - Refining & Marketing,83282.97332,391.4,5.200437183008527,,"RELIANCE,IOC,BPCL,HINDPETRO"
Mangalore Refinery and Petrochemicals Ltd,MRPL,Oil & Gas - Refining & Marketing,38776.24794,221.25,10.78001360590626,,"RELIANCE,IOC,BPCL,HINDPETRO,MRPL"
Chennai Petroleum Corporation Ltd,CHENNPETRO,Oil & Gas - Refining & Marketing,15320.00483,1028.8,5.580915908155334,,"RELIANCE,IOC,BPCL,HINDPETRO,MRPL,CHENNPETRO"
Gandhar Oil Refinery (INDIA) Ltd,GANDHAR,Oil & Gas - Refining & Marketing,2052.330167,209.7,14.607332151886062,,"RELIANCE,IOC,BPCL,HINDPETRO,MRPL,CHENNPETRO,GANDHAR"
Kotyark Industries Ltd,KOTYARK,Oil & Gas - Refining & Marketing,941.2586521200001,915.7,42.39903838378374,,"RELIANCE,IOC,BPCL,HINDPETRO,MRPL,CHENNPETRO,GANDHAR,KOTYARK"
Advance Petrochemicals Ltd,ADVPETR-B,Oil & Gas - Refining & Marketing,18.0405,200.45,85.90714285714262,,"RELIANCE,IOC,BPCL,HINDPETRO,MRPL,CHENNPETRO,GANDHAR,KOTYARK,ADVPETR-B"
Ashoka Refineries Ltd,ASHOKRE,Oil & Gas - Refining & Marketing,4.4394795,13.05,443.9479499999992,,"RELIANCE,IOC,BPCL,HINDPETRO,MRPL,CHENNPETRO,GANDHAR,KOTYARK,ADVPETR-B,ASHOKRE"
Petronet LNG Ltd,PETRONET,Oil & Gas - Storage & Transportation,55162.50324,367.75,15.102918387762683,,PETRONET
Aegis Logistics Ltd,AEGISLOG,Oil & Gas - Storage & Transportation,26977.86,768.6,47.396932483002146,,"PETRONET,AEGISLOG"
Great Eastern Shipping Company Ltd,GESHIP,Oil & Gas - Storage & Transportation,19452.73952,1362.55,7.4412395175752994,,"PETRONET,AEGISLOG,GESHIP"
Confidence Petroleum India Ltd,CONFIPET,Oil & Gas - Storage & Transportation,2922.392214,87.96,28.828965317431173,,"PETRONET,AEGISLOG,GESHIP,CONFIPET"
Reliance Industrial Infrastructure Ltd,RIIL,Oil & Gas - Storage & Transportation,1934.159,1280.9,145.31622839969947,,"PETRONET,AEGISLOG,GESHIP,CONFIPET,RIIL"
Confidence Futuristic Energetech Ltd,CFEL,Oil & Gas - Storage & Transportation,217.84914,87.07,25.331295348837262,,"PETRONET,AEGISLOG,GESHIP,CONFIPET,RIIL,CFEL"
Kesar Terminals & Infrastructure Ltd,KTIL,Oil & Gas - Storage & Transportation,107.079455,98,-2.071570033,,"PETRONET,AEGISLOG,GESHIP,CONFIPET,RIIL,CFEL,KTIL"
Greenhitech Ventures Ltd,GVL,Oil & Gas - Storage & Transportation,64.2725,136.75,189.03676470588246,,"PETRONET,AEGISLOG,GESHIP,CONFIPET,RIIL,CFEL,KTIL,GVL"
Sri Havisha Hospitality and Infrastructure Ltd,HAVISHA,Oil & Gas - Storage & Transportation,38.8445574,2.53,-9.33763399,,"PETRONET,AEGISLOG,GESHIP,CONFIPET,RIIL,CFEL,KTIL,GVL,HAVISHA"
Rajasthan Cylinders and Containers Ltd,RCCL,Oil & Gas - Storage & Transportation,12.34041525,36.71,-8.942329888,,"PETRONET,AEGISLOG,GESHIP,CONFIPET,RIIL,CFEL,KTIL,GVL,HAVISHA,RCCL"
Gagan Gases Ltd,GAGAN,Oil & Gas - Storage & Transportation,10.39255,23,207.85099999999935,,"PETRONET,AEGISLOG,GESHIP,CONFIPET,RIIL,CFEL,KTIL,GVL,HAVISHA,RCCL,GAGAN"
